,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,"C-STUDIOS FILE NAMING CONVENTIONS
File Naming: Name_Title_Year_Project_Added by

NOTE: project refers to specific CS project, only name if known.",
,,,,,,"Hi Maggie, thanks so much I would ike to inclide the album title here also.",,,,,,,
,,,,,,"I might have added to many songs from a project on the folder. I don't think we need to add more than 2 per project max. that's why highlighting the album is key I think, please add the link also ",,,,,,,
,,ASSET ,TITLE,NAME ,ALBUM,YEAR,PROJECT,ADDED,BY,FILE NAME ,NOTES,,"
,,,volunteer fire department,svn4vr,herts on fire,2026,,12/05/2026,Cynthia,svn4vr_volunteerfiredepartment_2026_CI,,,
,,,390,svn4vr,herts on fire,2026,,12/05/2026,Cynthia,svn4vr_390_2026_CI,,,
,,,fireflyyy,svn4vr,herts on fire,2026,,11/05/2026,Cynthia,svn4vr_fireflyyy_2026_CI,,,
,,,spirited away,svn4vr,herts on fire,2026,,12/05/2026,Cynthia,svn4vr_spiritedaway_2026_CI,,,
,,,"Yahweh, my strength and shield",svn4vr,herts on fire,2026,,12/05/2026,Cynthia,"svn4vr_Yahweh,mystrengthandshield_2026_CI",,,
,,,Looking for Love (Interlude),Janet Jackson,Damita Jo,2004,,11/05/2026,Cynthia,JanetJackson_LookingforLove(Interlude)_2004_CI,,,
,,,Thank You,Amina Claudine Myers,Sama Rou,2016,,11/05/2026,Cynthia,AminaClaudineMyers_ThankYou_2016_CI,,,
,,,Foreign Eye,Samba Jean-Baptiste,Access Delight,2025,,11/05/2026,Cynthia,SambaJean-Baptiste_ForeignEye_2025_CI,,,
,,,HWY,Jianghu,HWY,2022,,11/05/2026,Cynthia,Jianghu_HWY_2022_CI,,,
,,,Friendships and Love,Rocketship,"A Certain Smile, a Certain Sadness",1995,,11/05/2026,Cynthia,Rocketship_FriendshipsandLove_1995_CI,,,
,,,makeup,DORIS,Ultimate Love Songs Collection,2024,,11/05/2026,Cynthia,DORIS_makeup_2024_CI,,,
,,,Marvin Interlude,Mary J. Blige,My Life,1994,,11/05/2026,Cynthia,MaryJ.Blige_MarvinInterlude_1994_CI,,,
,,,On My Own,"Lil Wayne
Reel",The Carter,2004,,11/05/2026,Cynthia,LilWayne+Reel_OnMyOwn_2004_CI,,,
,,,BRASILIAN SKIES,Masayoshi Takanaka,BRASILIEN SKIES,1978,,12/05/2026,Cynthia,MasayoshiTakanaka_BRASILIANSKIES_1978_CI,,,
,,,Space 3,Nala Sinephro,Space 1.8,2021,,12/05/2026,Cynthia,NalaSinephro_Space3_2021_CI,,,
,,,"""T"" Plays It Cool - Soundtrack Version",Marvin Gaye ,Trouble Man: 40th Anniversary Expanded Edition,1972,,12/05/2026,Cynthia,"MarvinGaye_""T""PlaysItCool-SountrackVersion_1972_CI",,,
,,,Portrait of Tracy,Jaco Pastorius,Jaco Pastorius,1976,,12/05/2026,Cynthia,JacoPastorius_PortraitofTracy_1976_CI,,,
,,,blood meadow,The Crying Nudes,The Crying Nudes,2024,,12/05/2026,Cynthia,TheCryingNudes_bloodmeadow_2024_CI,,,
,,,Dakota Glory,Samba Jean-Baptiste,Access Delight,2025,,12/05/2026,Cynthia,SambaJean-Baptiste_DakotaGlory_2025_CI,,,
,,,Extraordinaire,"454
Pig the Gemini",CASTS OF A DREAMER,2024,,12/05/2026,Cynthia,454+PigtheGemini_Extraordinaire_2024_CI,,,
,,,Apple Vines,The Autocollants,Why Couldn't Things Just Stay The Same,1999,,12/05/2026,Cynthia,TheAutocollants_AppleVines_1999_CI,,,
,,,9,"Dean Blunt
Panda Bear",ZUSHI,2020,,12/05/2026,Cynthia,DeanBlunt+PandaBear_9_2020_CI,,,
,,,As Can Be,John Frusciante,Niandra LaDes And Usually Just A T-Shirt ,1994,,12/05/2026,Cynthia,JohnFrusciante_AsCanBe_1994_CI,,,
,,,"A Love Supreme, Pt. 1 - Acknowledgement - Monophonic Mix",John Coltrane,A Love Supreme (Monophonic Edition),1965,,12/05/2026,Cynthia,"JohnColtrane_ALoveSupreme,Pt.1-Acknowledgement-MonophonicMix_1965_CI",,,
,,,director's cut,Samba Jean-Baptiste,director's cut,2026,,12/05/2026,Cynthia,SambaJean-Baptiste_director'scut_2026_CI,,,
,,,Azucar,Earl Sweatshirt,Some Rap Songs,2018,,12/05/2026,Cynthia,EarlSweatshirt_Azucar_2018_CI,,,
,,,Mansion on the Hill,Bruce Springsteen,Nebraska,1982,,12/05/2026,Cynthia,BruceSpringsteen_MansionontheHill_1982_CI,,,
,,,In the Garden,Triste Janero,Meet Triste Janero,1969,,12/05/2026,Cynthia,TristeJanero_IntheGarden_1969_CI,,,
,,,Magalenha,Sérgio Mendes,Brasileiro,1992,,12/05/2026,Cynthia,SérgioMendes_Magalenha_1992_CI,,,
,,,Say You Will,Brandy,Afrodisiac,2004,,12/05/2026,Cynthia,Brandy_SayYouWill_2004_CI,,,
,,,Feel Like Makin' Love,D'Angelo,Voodoo,2000,,12/05/2026,Cynthia,D'Aneglo_FeelLikeMakin'Love_2000_CI,,,
,,,Life Goes On,Angie Stone,Mahogany Soul,2001,,12/05/2026,Cynthia,AngieStone_LifeGoesOn_2001_CI,,,
,,,Au Pays du Cocaine,Geese,Getting Killed,2025,,12/05/2026,Cynthia,Geese_AuPaysduCocaine_2025_CI,,,
,,,Try as I May,Cameron Winter,Heavy Metal,2024,,12/05/2026,Cynthia,CameronWinter_TryasIMay_2024_CI,,,
,,,Skeletons Coupling,mark william lewis,Mark William Lewis,2025,,12/05/2026,Cynthia,markwilliamlewis_SkeletonsCoupling_2025_CI,,,
,,,1 Dozen Roses,K-Ball,On My Way,1997,,12/05/2026,Cynthia,K-Ball_1DozenRoses_1997_CI,,,
,,,sun,"Jim Legxacy
Fimiguerrero",black british music (2025),2025,,12/05/2026,Cynthia,JimLegxacy+Fimiguerrero_sun_2025_CI,,,
,,,Two Thieves,Erika de Casier,Lifetime,2025,,12/05/2026,Cynthia,ErikadeCasier_TwoThieves_2025_CI,,,
,,,If Anything,John Glacier,SHILOH: Lost For Words,2021,,12/05/2026,Cynthia,JohnGlacier_IfAnything_2021_CI,,,
,,,Song For Mother E,Amina Claudine Myers,Song For Mother E,1980,,12/05/2026,Cynthia,AminaClaudineMyers_SongForMotherE_1980_CI,,,
,,,Eden - 1997 Remaster,Talk Talk,Spirit of Eden,1997,,12/05/2026,Cynthia,TalkTalk_Eden-1997Remaster_1997_CI,,,
,,,Music in the Air,Holger Czukay,Der Osten Ist Rot_Rome Remains Rome,1987,,12/05/2026,Cynthia,HolgerCzukay_MusicintheAir_1987_CI,,,
,,,CIS2,Bo Khat Eternal Troof Family Band,Ireland,2019,,12/05/2026,Cynthia,BoKhatEternalTroofFamilyBand_CIS2_2019_CI,,,
,,,Waitin' (unplugged),Kelela,In The Blue Light,2025,,12/05/2026,Cynthia,Kelela_Waitin'(unplugged)_2025_CI,,,
,,,Feel Like Makin' Love - 2006 Remaster,Roberta Flack,The Very Best of Roberta Flack,2006,,12/05/2026,Cynthia,RobertaFlack_FeelLikeMakin'Love-2006Remaster_2006_CI,,,
,,,Clown of the Class (Work Harder) ,MIKE,Showbiz! ,2025,,12/05/2026,Cynthia,MIKE_ClownoftheClass(WorkHarder)_2025_CI,,,
